sample_number,evaluation
1,0.7
2,0.4
3,0.6
4,0.2
5,0.4
6,0.8
7,0.6
8,0.2
9,0.3
10,0.6
11,0.7
12,0.2
13,0.6
14,0.6
16,0.4
17,0.2
18,0.2
19,0.7
20,0.4
21,0.2
22,0.4
23,0.6
24,0.7
25,0.7
26,0.4
27,0.2
28,0.1
29,0.4
30,0.2
31,0.7
32,0.6
33,0.4
34,0.7
35,0.4
36,0.1
37,0.9
38,0
39,0
40,0.9
41,0.5
42,0
43,0.8
44,0
45,0.9
46,0.5
47,0.2
48,1
49,1
50,1
51,1
52,1
53,0.5
54,1
55,1
56,1
57,0.9
58,0
59,0.9
60,0.5
61,1
62,0.5
63,0.5
64,1
65,1
66,1
67,1
68,1
69,0
70,1
71,1
72,1
73,1
74,1
75,1
76,0.8
77,0.4
78,0.9
79,0.7
80,0.8
81,0.6
82,0.7
83,0.8
84,0.7
85,0.7
86,0.8
87,0.8
88,0.7
89,0.6
90,0.8
91,0.4
92,0.8
93,0.7
94,0.8
95,0.7
96,0.6
97,0.9
98,0.85
99,0.5
100,0.3
101,0.9
102,0.9
103,0.7
104,0.7
105,0.9
106,0.85
107,0.9
108,0.8
109,0.9
110,0.8
111,0.5
112,0.8
113,0.95
114,0.7
115,0.8
116,0.85
117,0.8
118,0.8
119,0.6
120,0.9
121,0.9
122,0.7
123,0.8
124,0.9
125,0.9
126,0.8
127,0.6
128,0.4
129,0.85
130,0.9
131,0.8
132,0.7
133,0.9
134,0.95
135,0.9
136,0.8
137,0.9
138,0.9
139,0.7
140,0.7
141,0.7
142,0.9
143,0.85
144,0.7
145,0.95
146,0.9
147,0.8
148,0.9
149,0.8
150,0.7
151,0.9
152,0.8
153,0.9
154,0.9
155,0.9
156,0.9
157,0.9
158,0.9
159,0.9
160,0.9
161,0.9
162,1
163,0.9
164,0.9
165,0.9
166,0.8
167,0.6
168,0.8
169,0.8
170,0.8
171,0.85
172,0.95
173,0.95
174,0.9
175,0.8
176,0.8
177,0.9
178,0.8
179,0.9
180,0.9
181,0.9
182,0.7
183,0.9
184,0.9
185,0.8
186,0.8
187,0.6
188,0.8
189,0.7
190,0.7
191,0.7
192,0.4
193,0.7
194,0.8
195,0.6
196,0.8
197,0.85
198,0.9
200,0.9
202,0.6
203,0.9
204,0.7
205,0.5
206,0.9
207,0.5
208,0.85
209,0.1
210,0.7
211,0.9
213,0.7
214,0.8
215,0.85
216,0.7
217,0.8
221,0.8
222,0.7
227,0.6
228,0.6
229,0.6
230,0.6
231,0.6
233,0.1
234,0.7
237,0.3
238,0.6
240,0.9
241,0.7
242,0.8
243,0.1
244,0.6
245,0.85
246,0.9
247,0.85
254,0.8
255,0.7
258,0.8
262,0.7
263,0.2
266,0.7
267,0.8
268,0.7
272,1
273,0.8
275,0.9
276,0.7
277,0.4
278,0.8
281,0.85
282,0.95
283,0.9
284,0.9
285,0.9
286,0.8
289,0.7
291,0.9
294,0.8
295,0.8
296,0.9
299,0.6
300,0.7
301,0.5
303,0.6
304,0.6
305,0.5
306,0.9
308,0.7
310,0.6
311,0.6
314,0.4
315,0.6
316,0.1
317,0.5
318,0.7
320,0.4
321,0.1
327,0.5
329,0.5
330,0.5
331,0.1
332,0.1
333,0.5
334,0
335,0.5
336,0.1
338,0.7
340,0
341,0.7
343,0
345,0.5
346,0.1
347,0.2
348,0.6
350,0.9
351,0.7
352,0.1
353,0
354,0.3
356,0.5
358,0
361,0.6
364,0.2
367,0.5
371,0.8
373,0
375,0.5
378,0.7
384,0.9
385,0.1
386,0
387,0.8
390,0.95
391,0.85
392,0
394,0.2
395,1
397,0.95
399,0
400,0.9
401,1
403,0
406,0.8
407,0.8
408,0.8
409,0.7
410,0.7
411,0.8
413,0.6
414,0.8
415,0.9
416,0.7
417,0.8
418,0.6
419,0.7
420,0.8
421,0.7
422,0.6
423,0.6
424,0.7
425,0.7
426,0.6
427,0.8
428,0.8
429,0.5
430,0.7
431,0.8
432,0.9
433,0.7
435,0.9
436,0.7
437,0.9
438,0.9
439,0.7
440,0.7
441,0.7
442,0.8
443,0.9
444,0.8
445,0.9
446,0.7
448,0.7
451,0.8
452,0.7
453,0.8
454,0.8
455,0.5
456,0.9
457,0.6
458,0.7
459,0.7
460,0.9
461,0.8
462,0.9
463,0.7
464,0.95
465,0.9
466,0.8
467,0.85
468,0.85
469,0.8
470,0.6
471,0.8
472,0.85
473,0.85
474,0.7
476,0.9
477,0.9
478,0.9
479,0.9
480,0.9
481,0.7
482,0.7
483,0.9
484,0.9
485,0.7
486,0.9
487,0.95
488,0.9
489,0.8
490,0.9
491,0.8
492,0.9
493,0.7
494,0.9
495,0.9
496,0.6
497,0.5
498,0.8
499,0.8
500,0.8
501,0.9
502,1
503,0.9
504,0.95
505,0.8
506,0.8
507,0.8
508,0.8
509,0.8
510,0.9
511,0.9
512,0.8
513,0.85
514,0.9
515,0.7
