"dataset
string","id
string","messages
list","direction
string","metadata
dict"
"nllb-seed","nllb-seed_3909","[{""content"": ""ترجم من الدارجة للإنجليزية: وهي معاهدة دولية كتحكم نقل الكائنات المعدلة وراثيًا ومعالجتها واستعمالها."", ""role"": ""user""},{""content"": ""It is an international treaty that governs the transfer, handling, and use of genetically modified organisms."", ""role"": ""assistant""}]","dr_en","null"
"doda_few_shot","doda_few_shot_4545","[{""content"": ""ترجم من الدارجة للإنجليزية: واش هادشي لي كاين! <|assistant|> Is that all! <|user|> ترجم من الدارجة للإنجليزية: أُه شوكران. <|assistant|> Oh thanks. <|user|> ترجم من الدارجة للإنجليزية: فيناهيا لوبنا عافاك? <|assistant|> Where is Loubna please? <|user|> ترجم من الدارجة للإنجليزية: غلطّت"", ""role"": ""user""},{""content"": ""I misspoke"", ""role"": ""assistant""}]","dr_en","null"
"doda_few_shot","doda_few_shot_1833","[{""content"": ""ترجم من الدارجة للإنجليزية: صفرو مختالفا بزّاف علا رباط <|assistant|> Sefro is very different from Rabat <|user|> ترجم من الدارجة للإنجليزية: واش عندك الصرف? <|assistant|> Do you have change? <|user|> ترجم من الدارجة للإنجليزية: غادي إكون مودهيل تشوف طوكان فلبارّيا <|assistant|> It would be incredible to see a Toucan in the wild <|user|> ترجم من الدارجة للإنجليزية: واش هادشي كافي باش إعوّض علا لووجود ديالك فهاد لحابس?"", ""role"": ""user""},{""content"": ""is it enough to compensate for being in this prison?"", ""role"": ""assistant""}]","dr_en","null"
"doda_few_shot","doda_few_shot_5193","[{""content"": ""ترجم من الدارجة للإنجليزية: أُ غانستمتعو بيها <|assistant|> And we can enjoy it <|user|> ترجم من الدارجة للإنجليزية: عافاك ديني لهاد لادريسا <|assistant|> please take me to this address <|user|> ترجم من الدارجة للإنجليزية: كانحسّ بلمالال <|assistant|> I'm bored <|user|> ترجم من الدارجة للإنجليزية: فيناهووّا الطلكوموند"", ""role"": ""user""},{""content"": ""Where is the remote?"", ""role"": ""assistant""}]","dr_en","null"
"nllb-seed","nllb-seed_5131","[{""content"": ""ترجم من الدارجة للإنجليزية: بعد عملية الربط، كيتنقل المتجه مع دخول الفائدة إلى الخلايا."", ""role"": ""user""},{""content"": ""Following ligation the vector with the insert of interest is transfected into cells."", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_36309","[{""content"": ""ترجم من الدارجة للإنجليزية: أيه أ مولاي"", ""role"": ""user""},{""content"": ""Certainly, sir."", ""role"": ""assistant""}]","dr_en","null"
"nllb-seed","nllb-seed_3787","[{""content"": ""ترجم من الدارجة للإنجليزية: صوتت الكلية في صالح الطرد ديالو، بالرغم من أن الطلاب كانوا كيدعموه حيت عقوبة الطرد كانت شديدة بزاف في رأيهم."", ""role"": ""user""},{""content"": ""The faculty voted to expel him, though he was supported by the students, who thought expulsion was too harsh."", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_4665","[{""content"": ""ترجم من الدارجة للإنجليزية: فيها شي كتيشافات جديدا"", ""role"": ""user""},{""content"": ""it incorporates some recent discoveries"", ""role"": ""assistant""}]","dr_en","null"
"doda","doda_38157","[{""content"": ""ترجم من الدارجة للإنجليزية: مومكين علا قبل لماصاصات, والاكين ماشي بناسبا لييا"", ""role"": ""user""},{""content"": ""Maybe for popsicles, but not for me."", ""role"": ""assistant""}]","dr_en","null"
"nllb-seed","nllb-seed_2801","[{""content"": ""ترجم من الدارجة للإنجليزية: كانت أقل وحدة إدارية للإمبراطورية الروسية، فولوست، أو وحدة خليفتها السوفياتي أو الروسي الحديث، السيلسوفيت، كتواجد فالعادة في ""سيلو"" وضمت عدد قليل من القرى المجاورة."", ""role"": ""user""},{""content"": ""The lowest administrative unit of the Russian Empire, a volost, or its Soviet or modern Russian successor, a selsoviet, was typically headquartered in a selo and embraced a few neighboring villages."", ""role"": ""assistant""}]","dr_en","null"
"nllb-seed","nllb-seed_8595","[{""content"": ""ترجم من الدارجة للإنجليزية: إيبو دار داكشي من خلال مقارنة نتائج الرعاية الاجتماعية ديال منظمي المشاريع الي كانت كندهم إمكانية الوصول إليها والي مكانتش عندهم إمكانية الوصول ليها."", ""role"": ""user""},{""content"": ""Epo did this by comparing the welfare outcomes of the entrepreneurs who both had access and no access."", ""role"": ""assistant""}]","dr_en","null"
"nllb-seed","nllb-seed_3053","[{""content"": ""ترجم من الدارجة للإنجليزية: باش يختابرو صحة الأدوات أو الإجراأت أو التجارب، لبحث يقدر يكرر عناصر مشاريع سابقة أو المشروع ككل."", ""role"": ""user""},{""content"": ""To test the validity of instruments, procedures, or experiments, research may replicate elements of prior projects or the project as a whole."", ""role"": ""assistant""}]","dr_en","null"
"flores+","flores+_4059","[{""content"": ""ترجم من الدارجة للإنجليزية: المتظاهرين قطعوا الطريق مور ال 11:00 على الطوموبيلات اللي غاديين للشمال لوايتهول."", ""role"": ""user""},{""content"": ""Just after 11:00, protesters blocked traffic on the northbound carriage in Whitehall."", ""role"": ""assistant""}]","dr_en","null"
