"datasetstring","idstring","messageslist","directionstring","metadatadict"
"doda","doda_34859","[{""content"": ""ترجم من الدارجة للفصحى: ماكايعجبونيش لكتوبا ديال أرّوسّوم."", ""role"": ""user""},{""content"": ""أنا لا أحب القصص المصورة."", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_2415","[{""content"": ""ترجم من الدارجة للفصحى: ايوا لا بغيتي تتقدا مزيان خاصك تمشي بكري قبل من بنادم."", ""role"": ""user""},{""content"": ""حسناُ . مفتاح التسوق الناجح هو الذهاب هناك مبكراُ قبل الزحمة ."", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_1767","[{""content"": ""ترجم من الدارجة للفصحى: واش تمشي معايا للشاطئ نهار الأحد؟"", ""role"": ""user""},{""content"": ""ماذا عن الذهاب معي إلى الشاطئ يوم الأحد ؟"", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_4437","[{""content"": ""ترجم من الدارجة للفصحى: لا، انا انعيط ليه."", ""role"": ""user""},{""content"": ""لا ، سوف أتصل للرد عليه ."", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_2663","[{""content"": ""ترجم من الدارجة للفصحى: بغيت نجبد جواز السفر ديالي من صندوق الودائع."", ""role"": ""user""},{""content"": ""أود أخذ جواز سفري من صندوق الأمانات الخاص بي ."", ""role"": ""assistant""}]","dr_msa","null"
"doda_few_shot","doda_few_shot_5291","[{""content"": ""ترجم من الدارجة للفصحى: واش فيك الجوع? <|assistant|> هل أنت جائع؟ <|user|> ترجم من الدارجة للفصحى: هيا لاباس! <|assistant|> هي بخير! <|user|> ترجم من الدارجة للفصحى: غادي نساحاب! <|assistant|> أنا استقلت! <|user|> ترجم من الدارجة للفصحى: كولشي ديالك"", ""role"": ""user""},{""content"": ""كله لك"", ""role"": ""assistant""}]","dr_msa","null"
"madar","madar_14953","[{""content"": ""ترجم من الدارجة للفصحى: واش يمكن لي نبدل الطاولة ديالي؟"", ""role"": ""user""},{""content"": ""هل يمكنك تغيير منضدتي ؟"", ""role"": ""assistant""}]","dr_msa","null"
"madar_multi_turns","madar_multi_turns_931","[{""content"": ""ترجم من الدارجة للفصحى: واش المسرح قريب من هنا؟"", ""role"": ""user""},{""content"": ""هل المسرح قريب ؟"", ""role"": ""assistant""},{""content"": ""ترجم: هادا ليا."", ""role"": ""user""},{""content"": ""هذه التي ألبسها ."", ""role"": ""assistant""},{""content"": ""ترجم: بغيت شومبوان ضد القشرة."", ""role"": ""user""},{""content"": ""أريد مستحضر ضد قشرة الشعر ."", ""role"": ""assistant""}]","dr_msa","null"
"doda_few_shot","doda_few_shot_2591","[{""content"": ""ترجم من الدارجة للفصحى: كايحساب ليك راسك دكي... كاتلعب بيا هاد لمودّا كاملا... كان كرهك... <|assistant|> تظن أنك ذكي جدًا... تلعب معي طوال هذا الوقت... أكرهك... <|user|> ترجم من الدارجة للفصحى: واش عنداك 200 درهم <|assistant|> هل لديك 200 درهم؟ <|user|> ترجم من الدارجة للفصحى: ناضي <|assistant|> ممتاز. <|user|> ترجم من الدارجة للفصحى: ماتحتاجش تمشي"", ""role"": ""user""},{""content"": ""لا يتوجب عليك الذهاب"", ""role"": ""assistant""}]","dr_msa","null"
"doda","doda_36599","[{""content"": ""ترجم من الدارجة للفصحى: غادي نورّك علا ل بوطون ديال سوڤڭارد"", ""role"": ""user""},{""content"": ""سأضغط على زر النسخ الاحتياطي."", ""role"": ""assistant""}]","dr_msa","null"
