"dataset string","id string","messages list","direction string","metadata dict"
"doda","doda_30436","[{""content"": ""ترجم من الفصحى للدارجة: إنه يزعجني"", ""role"": ""user""},{""content"": ""كايبرزطني"", ""role"": ""assistant""}]","msa_dr","null"
"doda","doda_29638","[{""content"": ""ترجم من الفصحى للدارجة: يمكن أن يحدث أي شيء!"", ""role"": ""user""},{""content"": ""أيّ حاجة تقدر توقع!"", ""role"": ""assistant""}]","msa_dr","null"
"madar_few_shot","madar_few_shot_1478","[{""content"": ""ترجم من الفصحى للدارجة: متى يفتح و متى يغلق ؟ <|assistant|> وقتاش كايحل و كايسد؟ <|user|> ترجم من الفصحى للدارجة: كلا , نحن لا نقوم بذلك , يا سيدي . <|assistant|> لا، ما درناهش، سيدي. <|user|> ترجم من الفصحى للدارجة: طلبت من آن أن تغني أغنية . <|assistant|> اطلبت من ان تغني واحد الأغنية. <|user|> ترجم من الفصحى للدارجة: هل يوجد من يتحدث الإنجليزية ؟"", ""role"": ""user""},{""content"": ""واش كاين شي واحد كايهضر بالانجليزية تما؟"", ""role"": ""assistant""}]","msa_dr","null"
"doda_few_shot","doda_few_shot_5026","[{""content"": ""ترجم من الفصحى للدارجة: تبدو وسيمة في هذا البدلة <|assistant|> كاتبان بوڭوسا فهاد لونسومبل <|user|> ترجم من الفصحى للدارجة: من الرائع مساعدة الآخرين <|assistant|> مزيان تعاون الناس <|user|> ترجم من الفصحى للدارجة: نعم، بالطبع. <|assistant|> أيه, طابعان. <|user|> ترجم من الفصحى للدارجة: لفّ وشاحه حول عنقه"", ""role"": ""user""},{""content"": ""دوّر الشال علا عنقو"", ""role"": ""assistant""}]","msa_dr","null"
"doda","doda_1552","[{""content"": ""ترجم من الفصحى للدارجة: كيف الأعمال؟"", ""role"": ""user""},{""content"": ""كيدايرا لخدما?"", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_13624","[{""content"": ""ترجم من الفصحى للدارجة: عندي إطار فارغ من الهواء ."", ""role"": ""user""},{""content"": ""عندي ارويضة مفشوشة."", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_1486","[{""content"": ""ترجم من الفصحى للدارجة: تركت معطفي في دورة مياه الفندق ."", ""role"": ""user""},{""content"": ""نسيت كبوطي في الماريو ديال الفندق."", ""role"": ""assistant""}]","msa_dr","null"
"doda","doda_39160","[{""content"": ""ترجم من الفصحى للدارجة: أعيش هناك"", ""role"": ""user""},{""content"": ""أنا كانعيش لهيه"", ""role"": ""assistant""}]","msa_dr","null"
"madar","madar_7388","[{""content"": ""ترجم من الفصحى للدارجة: هل يمكنك تزكية مطعم جيد بالقرب من هنا ؟"", ""role"": ""user""},{""content"": ""يمكن ليك ترشدني لشي مطعم زوين قريب من هنا؟"", ""role"": ""assistant""}]","msa_dr","null"
"doda","doda_12130","[{""content"": ""ترجم من الفصحى للدارجة: الشيء الوحيد الذي أطلب منك فعله هو الاحتفاظ بزجاجة النبيذ الأحمر"", ""role"": ""user""},{""content"": ""لحاجا لواحيدا لي كانطلب منّك تديرها هيا تشدّ لقرعا ت الروج"", ""role"": ""assistant""}]","msa_dr","null"
